title,artist,year,spotify
Spijt,Roxy Dekker,2022,https://open.spotify.com/track/0RHUZb0zXTARrtYjstHYcP
Heimwee,STEFF & Roxy Dekker,2022,https://open.spotify.com/track/4cGc0pC5zea38YjqtVNGLa
100%,FLEMMING & Mart Hoogkamer,2023,https://open.spotify.com/track/1lzzSzBejW6m8UN2PdRsDv
Sugardaddy,Roxy Dekker,2024,https://open.spotify.com/track/2hIFhSltVcRU1oJ3kf8Zy4
Satisfyer,Roxy Dekker,2023,https://open.spotify.com/track/3qbb77qMxI5v013fqfRUzc
Ga Dan!,Roxy Dekker,2025,https://open.spotify.com/track/62iG1lk8qtd26ldgzCdRh5
Gaan We Weg?,Roxy Dekker,2024,https://open.spotify.com/track/02nm2yGw7BygWmRcbFhAlC
Anne-Fleur Vakantie,Roxy Dekker,2023,https://open.spotify.com/track/0omaeI4JjN2g5vHBCZHqUJ
Industry Plant,Roxy Dekker,2024,https://open.spotify.com/track/31EsbpCFl01yQtLncNdjSz
Hoe Het Is,Roxy Dekker,2025,https://open.spotify.com/track/7osE6MJVDWyX9XUVC7Q242
Casual,Roxy Dekker,2025,https://open.spotify.com/track/1Oq4ei25SeGivbXLcCnz7z
Proost,Roxy Dekker,2025,https://open.spotify.com/track/0KfKG23F2eWsq3iJazXYvS
